,target
14511,1
14517,0
14524,1
14533,0
14541,1
14542,0
14543,0
14548,1
14549,0
14550,0
14551,1
14553,0
14565,1
14567,0
14577,0
14579,0
14591,0
14595,1
14613,1
14614,1
14615,1
14619,0
14623,0
14625,0
14630,0
14632,0
14638,0
14642,1
14644,1
14649,0
14652,0
14654,0
14655,0
14658,1
14663,0
14667,0
14680,0
14681,1
14686,1
14689,0
14693,1
14696,0
14699,0
14703,1
14715,0
14717,0
14720,1
14723,1
14728,0
14739,0
14741,0
14746,0
14758,1
14761,1
14762,0
14767,0
14769,0
14771,1
14774,0
14786,0
14788,1
14795,0
14799,0
14813,0
14815,1
14822,0
14823,0
14825,0
14845,0
14852,1
14854,1
14863,1
14864,0
14884,1
14887,1
14906,0
14907,0
14909,0
14910,1
14916,1
14919,0
14924,0
14925,1
14928,0
14933,0
14945,0
14950,0
14952,0
14965,0
14966,0
14967,0
14971,0
14979,0
14987,0
14990,0
14995,0
14996,0
14997,0
15002,1
15014,1
15023,0
15035,1
15038,0
15051,0
15061,1
15063,0
15070,0
15074,0
15076,0
15080,0
15088,1
15090,0
15093,1
15105,1
15115,0
15116,1
15128,0
15130,0
15134,0
15136,0
15138,0
15148,0
15157,0
15159,1
15163,0
15182,0
15187,0
15189,0
15194,0
15200,0
15202,0
15203,0
15206,1
15208,0
15210,0
15211,0
15218,1
15223,0
15227,0
15239,1
15242,0
15250,0
15252,1
15257,0
15258,0
